OBJECTID	Shape_Length	local_ca	downarc	slope	total_ca	segorder	channelclassid				
202	2084.92424	100	186	0.30246	100	1	14				
203	512.13203	100	196	0.01406	100	1	14				
204	2147.05627	100	186	0.01891	100	20	18				
205	1148.52814	100	196	0.00566	100	28	12				
206	1386.3961	100	192	0.08288	100	4	17				
207	512.13203	100	205	0.00605	100	27	12				
208	362.13203	100	206	0.44707	100	1	14				
209	212.13203	100	206	0.05091	100	3	17				
210	1298.52814	100	198	0.14563	100	1	14				
211	300	100	205	0.04533	100	1	14				
212	1298.52814	100	200	0.03704	100	2	15				
213	962.13203	100	204	0.13792	100	5	17				
214	3259.18831	100	212	0.1536	100	1	14				
215	5659.18831	100	160	0.13816	100	1	14				
216	962.13203	100	217	0.40701	100	1	14				
217	3072.79221	100	204	0.02158	100	19	18				
218	812.13203	100	222	0.36213	100	1	14				
219	4221.32034	100	220	0.09199	100	4	17				
220	900	100	222	0.02267	100	17	18				
221	874.26407	100	213	0.23334	100	1	14				
222	2048.52814	100	217	0.0289	100	18	18				
223	936.3961	100	220	0.02114	100	16	18				
224	1722.79221	100	207	0.01904	100	7	18				
225	150	100	224	0.39267	100	1	14				
226	1298.52814	100	213	0.02303	100	4	17				
227	6657.71645	100	163	0.09404	100	1	14				
228	662.13203	100	226	0.34525	100	1	14				
229	1960.66017	100	212	0.01765	100	1	14				
230	2959.18831	100	223	0.02126	100	15	18				
231	786.3961	100	230	0.02594	100	14	18				
232	3284.92424	100	209	0.14369	100	1	14				
233	1748.52814	100	226	0.03603	100	3	16				
234	5468.37662	100	209	0.054	100	2	15				
235	3248.52814	100	236	0.12815	100	2	16				
236	786.3961	100	231	0.03548	100	13	18				
237	6079.03679	100	207	0.00707	100	26	12				
238	812.13203	100	231	0.08078	100	2	14				
239	2684.92424	100	224	0.04414	100	6	18				
240	512.13203	100	234	0.21381	100	1	14				
241	1422.79221	100	237	0.00928	100	25	12				
242	962.13203	100	233	0.04199	100	2	15				
243	1836.3961	100	235	0.15258	100	1	14				
244	2534.92424	100	234	0.10482	100	1	14				
245	362.13203	100	242	0.14056	100	1	14				
246	936.3961	100	238	0.05372	100	1	14				
247	1562.13203	100	251	0.22431	100	1	14				
248	600	100	251	0.00967	100	16	12				
249	5147.05627	100	248	0.12924	100	1	14				
250	3921.32034	100	223	0.14969	100	1	14				
251	362.13203	100	257	0.03976	100	17	18				
252	212.13203	100	253	0.00943	100	1	8				
253	1810.66017	100	241	0.01187	100	24	18				
254	1086.3961	100	262	0.15473	100	1	14				
255	3124.26407	100	262	0.01876	100	19	18				
256	6047.05627	100	235	0.06256	100	1	14				
257	1536.3961	100	255	0.02688	100	18	18				
258	3497.05627	100	230	0.07289	100	2	15				
259	3233.45238	100	265	0.14832	100	1	14				
260	2147.05627	100	236	0.03889	100	12	18				
261	662.13203	100	253	0.01782	100	23	18				
262	1598.52814	100	265	0.01839	100	20	18				
263	424.26407	100	261	0.00754	100	22	12				
264	2534.92424	100	248	0.02114	100	15	18				
265	1660.66017	100	263	0.01951	100	21	18				
266	4469.84848	100	233	0.15835	100	1	14				
267	662.13203	100	261	0.14589	100	1	14				
268	2260.66017	100	264	0.02557	100	14	18				
269	450	100	268	0.35111	100	1	14				
270	1210.66017	100	260	0.02139	100	11	18				
271	936.3961	100	264	0.06109	100	3	16				
272	1960.66017	100	255	0.16846	100	1	14				
273	662.13203	100	271	0.07808	100	2	14				
274	3533.45238	100	238	0.12141	100	1	14				
275	512.13203	100	273	0.06268	100	1	14				
276	4184.92424	100	270	0.17494	100	1	14				
277	2834.92424	100	257	0.16339	100	1	14				
278	1872.79221	100	268	0.0252	100	13	18				
279	3109.18831	100	263	0.00669	100	20	12				
280	812.13203	100	273	0.28407	100	1	14				
281	512.13203	100	279	0.00566	100	19	12				
282	1836.3961	100	278	0.02783	100	12	18				
283	1536.3961	100	282	0.18413	100	1	14				
284	2648.52814	100	258	0.21876	100	1	14				
285	4619.84848	100	239	0.03366	100	5	18				
286	1872.79221	100	285	0.20125	100	1	14				
287	3972.79221	100	239	0.07836	100	2	15				
288	212.13203	100	281	0.00754	100	1	8				
289	362.13203	100	290	0.2836	100	1	14				
290	2074.26407	100	292	0.08485	100	2	15				
291	1448.52814	100	278	0.06006	100	3	16				
292	2260.66017	100	282	0.02915	100	11	18				
293	4557.71645	100	242	0.16905	100	1	14				
294	3134.92424	100	290	0.13796	100	1	14				
295	3719.84848	100	258	0.17409	100	1	14				
296	998.52814	100	287	0.2738	100	1	14				
297	2436.3961	100	279	0.15297	100	1	14				
298	2524.26407	100	270	0.02642	100	10	18				
299	5509.18831	100	237	0.12459	100	1	14				
300	1562.13203	100	298	0.28826	100	1	14				
301	450	100	298	0.03889	100	9	18				
302	1236.3961	100	312	0.18449	100	1	14				
303	1810.66017	100	285	0.01232	100	4	17				
304	1598.52814	100	291	0.10234	100	2	14				
305	3021.32034	100	292	0.03737	100	10	18				
306	5721.32034	100	241	0.11157	100	1	14				
307	1986.3961	100	281	0.00549	100	18	12				
308	212.13203	100	304	0.20553	100	1	14				
309	874.26407	100	312	0.29476	100	1	14				
310	3310.66017	100	291	0.05833	100	2	14				
311	3734.92424	100	305	0.16022	100	1	14				
312	1386.3961	100	313	0.05785	100	2	14				
313	1986.3961	100	303	0.01727	100	3	15				
314	1086.3961	100	304	0.15307	100	1	14				
315	212.13203	100	310	0.25267	100	1	14				
316	600	100	301	0.04533	100	8	18				
317	7956.24458	100	260	0.11406	100	1	14				
330	3233.45238	100	307	0.05598	100	3	16				
331	150	100	326	0.02733	100	1	14				
332	4521.32034	100	324	0.15223	100	1	14				
333	362.13203	100	325	0.03093	100	6	18				
334	4484.92424	100	303	0.03955	100	1	14				
335	2048.52814	100	330	0.06458	100	2	15				
336	2297.05627	100	335	0.13091	100	1	14				
337	1174.26407	100	326	0.01473	100	15	18				
338	1086.3961	100	337	0.10954	100	1	14				
339	998.52814	100	333	0.02454	100	5	17				
340	424.26407	100	339	0.01815	100	4	17				
341	786.3961	100	340	0.03395	100	1	14				
342	1484.92424	100	333	0.24776	100	1	14				
343	1810.66017	100	324	0.05694	100	8	18				
344	2384.92424	100	343	0.17699	100	1	14				
345	936.3961	100	340	0.02285	100	3	16				
346	1660.66017	100	337	0.00813	100	14	12				
347	874.26407	100	343	0.02368	100	7	18				
348	662.13203	100	347	0.03353	100	1	14				
349	936.3961	100	351	0.35167	100	1	14				
350	1474.26407	100	366	0.01743	100	2	15				
351	2860.66017	100	345	0.06747	100	2	15				
352	1598.52814	100	339	0.0695	100	1	14				
353	1960.66017	100	335	0.1574	100	1	14				
354	2374.26407	100	330	0.16287	100	1	14				
355	212.13203	100	350	0.04808	100	1	14				
356	724.26407	100	347	0.16734	100	1	14				
357	936.3961	100	346	0.01068	100	13	18				
358	212.13203	100	357	0.01131	100	9	18				
359	212.13203	100	358	0.01744	100	1	14				
360	2860.66017	100	350	0.13553	100	1	14				
361	3072.79221	100	346	0.16734	100	1	14				
362	512.13203	100	363	0.074	100	1	14				
363	5431.98052	100	357	0.03599	100	12	18				
364	1562.13203	100	366	0.1697	100	1	14				
365	1086.3961	100	363	0.00506	100	11	12				
366	4345.58441	100	365	0.08105	100	3	16				
367	1934.92424	100	347	0.023	100	6	17				
368	2271.32034	100	351	0.15713	100	1	14				
369	150	100	367	0.05267	100	5	16				
370	3497.05627	100	367	0.19699	100	1	14				
371	2897.05627	100	345	0.20124	100	1	14				
372	936.3961	100	369	0.04314	100	4	16				
373	1774.26407	100	358	0.02119	100	8	18				
374	1086.3961	100	365	0.00828	100	10	12				
375	936.3961	100	369	0.19415	100	1	14				
376	150	100	374	0.00533	100	9	12				
377	362.13203	100	374	0.0069	100	1	8				
378	424.26407	100	376	0.00471	100	8	12				
379	724.26407	100	372	0.19717	100	2	14				
380	662.13203	100	373	0.02039	100	7	18				
381	1324.26407	100	380	0.24293	100	1	14				
382	998.52814	100	372	0.10676	100	3	15				
383	512.13203	100	379	0.11872	100	1	14				
384	724.26407	100	382	0.36782	100	2	14				
385	1474.26407	100	384	0.24975	100	1	14				
386	1960.66017	100	376	0.24793	100	1	14				
387	936.3961	100	402	0.22854	100	1	14				
388	786.3961	100	402	0.15056	100	1	14				
389	1360.66017	100	379	0.08878	100	1	14				
390	998.52814	100	384	0.30865	100	1	14				
391	2297.05627	100	378	0.01367	100	7	18				
392	2534.92424	100	380	0.03042	100	6	18				
393	2012.13203	100	382	0.1393	100	2	14				
394	2560.66017	100	378	0.14047	100	1	14				
395	212.13203	100	393	0.05515	100	1	14				
396	4081.98052	100	373	0.16404	100	1	14				
397	998.52814	100	392	0.0652	100	5	17				
398	1086.3961	100	393	0.11156	100	1	14				
399	150	100	397	0.11067	100	1	14				
400	4283.45238	100	391	0.03656	100	6	18				
401	1210.66017	100	397	0.06988	100	4	17				
402	3197.05627	100	403	0.10532	100	2	15				
403	2498.52814	100	400	0.03038	100	5	18				
404	1360.66017	100	403	0.01881	100	4	17				
405	2384.92424	100	401	0.04906	100	3	16				
406	362.13203	100	405	0.0174	100	1	14				
407	1562.13203	100	400	0.27731	100	1	14				
408	786.3961	100	404	0.0398	100	3	16				
409	3672.79221	100	391	0.02344	100	5	18				
410	300	100	408	0.31833	100	1	14				
411	998.52814	100	405	0.01652	100	2	15				
412	2260.66017	100	408	0.04945	100	2	16				
413	812.13203	100	409	0.00062	100	4	4				
414	2234.92424	100	413	0.19857	100	1	14				
415	2586.3961	100	401	0.12496	100	1	14				
416	2384.92424	100	404	0.14793	100	1	14				
417	1448.52814	100	412	0.14974	100	1	14				
418	1748.52814	100	411	0.20743	100	1	14				
419	3657.71645	100	409	0.0482	100	4	17				
420	3134.92424	100	411	0.0712	100	1	14				
421	7919.84848	100	392	0.027	100	3	18				
422	2860.66017	100	413	0.01014	100	3	15				
423	2597.05627	100	419	0.03504	100	3	16				
424	1210.66017	100	425	0.21344	100	1	14				
425	1686.3961	100	423	0.06665	100	2	15				
426	4433.45238	100	412	0.04236	100	1	14				
427	1448.52814	100	422	0.15554	100	1	14				
428	1298.52814	100	422	0.04713	100	2	14				
429	600	100	428	0.28267	100	1	14				
430	2260.66017	100	425	0.10249	100	1	14				
431	2886.3961	100	419	0.09864	100	1	14				
432	1774.26407	100	421	0.01944	100	2	14				
433	3983.45238	100	421	0.0299	100	2	15				
434	150	100	432	0.046	100	1	14				
435	1086.3961	100	428	0.14534	100	1	14				
436	874.26407	100	432	0.1408	100	1	14				
437	3434.92424	100	433	0.15107	100	1	14				
438	3548.52814	100	423	0.06487	100	1	14				
439	2534.92424	100	433	0.12071	100	1	14				
